zh,zh_fone,en
的,de,of
我,wǒ,I
你,nǐ,you
了,le,(past tense marker)
是,shì,is
在,zài,at
他,tā,he
我们,wǒmen,we
不,bù,not
吗,ma,(question marker)
好,hǎo,good
什么,shénme,what
有,yǒu,have
就,jiù,just
吧,ba,(suggestion marker)
她,tā,she
这,zhè,this
知道,zhīdào,know
说,shuō,say
都,dōu,all
去,qù,go
很,hěn,very
啊,ā,(surprise marker)
要,yào,want
也,yě,also
他们,tāmen,they
和,hé,and
那,nà,that
想,xiǎng,want
人,rén,person
会,huì,can
一个,yīgè,one
来,lái,come
把,bǎ,(disposal marker)
对,duì,correct
没有,méiyǒu,none
做,zuò,do
不是,bùshì,not
让,ràng,let
给,gěi,give
你们,nǐmen,you (plural)
呢,ne,(question marker)
但,dàn,but
到,dào,arrive
还,hái,still
现在,xiànzài,now
这个,zhège,this
能,néng,can
怎么,zěnme,how
就是,jiùshì,exactly
跟,gēn,follow
如果,rúguǒ,if
没,méi,none
它,tā,it
走,zǒu,walk
上,shàng,up
得,děi,must
被,bèi,by
这里,zhèlǐ,here
这样,zhèyàng,this way
个,gè,(measure word)
看,kàn,see
事,shì,thing
自己,zìjǐ,self
着,zhe,(ongoing action marker)
谁,shéi,who
过,guò,pass
不会,bùhuì,cannot
告诉,gàosù,tell
为什么,wèishéme,why
不能,bùnéng,cannot
真的,zhēn de,really
先生,xiānsheng,Mr.
只是,zhǐshì,just
不要,bùyào,don't
这是,zhè shì,this is
已经,yǐjīng,already
再,zài,again
哦,ò,oh
需要,xūyào,need
因为,yīnwèi,because
谢谢,xièxiè,thank you
像,xiàng,like
这么,zhème,so
可能,kěnéng,possible
但是,dànshì,but
那个,nàge,that
所以,suǒyǐ,so
喜欢,xǐhuān,like
又,yòu,again
